,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
453,N/A,N/A,twx,N/A,N/A,N/A,N/A,N/A,99.16,14.69,2.04,2.43,14.41,26.04,7.34,1.5,35.14,57590000000.0,79720000000.0,12.10,0.94,2.82,9.91,2.82,11960000000.0,1.5,4030000000.0000005,4.98,25.20,2.50,1540000000.0,1.96,23670000000.0,1.64,30.22,73.23,1.5,0.11,83.70,15020000.0,2.97,1.82,12420000.0,N/A
454,N/A,N/A,txn,N/A,N/A,N/A,N/A,N/A,42.10,19.93,4.46,5.88,23.32,32.89,16.00,1.5,12.60,57360000000.0,58680000000.0,17.52,1.93,4.56,11.13,4.56,7560000000.0,1.5,2960000000.0,2.87,1.80,4.50,2800000000.0,2.79,4120000000.0,2.75,9.72,57.12,1.5,0.22,87.20,25920000.0,6.31,3.06,26060000.0,N/A
455,N/A,N/A,txt,N/A,N/A,N/A,N/A,N/A,80.12,14.44,0.75,2.04,5.31,8.44,4.79,1.5,49.26,10040000000.0,13320000000.0,12.45,1.09,0.98,8.30,0.98,2440000000.0,1.5,721000000.0,2.59,17.20,4.20,723000000.0,2.69,4000000000.0,2.03,18.57,37.35,1.5,0.10,80.80,6630000.0,2.85,2.89,5730000.0,N/A
456,N/A,N/A,tyc,N/A,N/A,N/A,N/A,N/A,61.25,36.93,1.70,3.97,4.58,12.74,6.63,1.5,22.93,16329999999.999998,18480000000.0,16.90,1.57,1.91,11.74,1.91,3630000000.0,1.5,487000000.0,1.04,12.60,4.10,401000000.0,0.94,2560000000.0,1.13,9.75,38.37,1.5,0.48,90.30,4240000.0,1.53,1.12,3320000.0,N/A
457,N/A,N/A,ua,N/A,N/A,N/A,N/A,N/A,53.91,69.57,7.79,14.12,5.71,10.04,9.15,1.5,9.74,16160000000.0,33119999999.999996,44.76,2.25,7.87,62.05,7.87,1910000000.0,1.5,240020000.0,0.53,63.50,30.20,157000000.0,0.18,938810000.0,2.92,2.67,37.15,1.5,0.36,77.40,43.00,5.76,9.11,33200000.000000004,N/A
458,N/A,N/A,unh,N/A,N/A,N/A,N/A,N/A,91.41,20.74,0.74,3.52,3.62,6.84,6.83,1.5,174.10,122650000000.0,143360000000.0,14.43,1.11,0.86,11.26,0.86,53230000000.0,1.5,6010000000.0,6.22,14.00,24.50,13010000000.0,13.69,33720000000.0,0.67,36.87,129.00,1.5,1.62,89.60,11600000.0,3.47,1.23,10800000.0,N/A
459,N/A,N/A,unm,N/A,N/A,N/A,N/A,N/A,31.41,9.49,0.74,0.90,8.00,12.89,1.39,1.5,44.30,7990000000.0,9930000000.0,8.16,1.11,0.92,6.64,0.92,3520000000.0,1.5,864800000.0,3.54,1.10,2.90,864000000.0,3.63,2800000000.0,5.70,37.52,33.62,1.5,0.47,93.60,5540000.0,2.87,2.34,5460000.0,N/A
460,N/A,N/A,unp,N/A,N/A,N/A,N/A,N/A,74.20,15.31,3.35,3.44,21.88,36.91,8.91,1.5,24.53,68960000000.0,81480000000.0,14.16,2.22,3.88,8.33,3.88,17380000000.0,1.5,4600000000.0,5.36,14.90,14.00,2670000000.0,3.18,15190000000.0,1.55,24.35,82.00,1.5,0.16,81.00,12570000.0,2.78,1.49,13470000.0,N/A
461,N/A,N/A,ups,N/A,N/A,N/A,N/A,N/A,576.72,18.29,1.53,36.55,8.42,13.29,N/A,1.5,65.58,88950000000.0,98660000000.0,16.13,1.80,1.68,9.95,1.68,45420000000.0,1.5,4950000000.0,5.50,10.20,3.20,4730000000.0,5.34,14370000000.0,N/A,2.79,100.66,1.5,0.06,69.10,10550000.0,4.19,1.53,11310000.0,N/A
462,N/A,N/A,urbn,N/A,N/A,N/A,N/A,N/A,13.19,14.60,0.92,2.78,6.52,10.52,12.17,1.5,27.51,3050000000.0,2870000000.0,11.87,1.03,0.83,5.73,0.83,1200000000.0,1.5,224490000.0,1.78,9.20,0.20,326340000.0,2.78,150000000.0,2.53,9.69,25.99,1.5,26.45,80.30,6430000.0,2.74,9.56,4490000.0,N/A
463,N/A,N/A,usb,N/A,N/A,N/A,N/A,N/A,N/A,13.11,3.90,1.76,31.39,44.06,1.40,1.5,10.60,71520000000.0,119660000000.0,11.70,2.51,6.44,N/A,6.44,N/A,1.5,5570000000.0,3.16,3.10,1.40,13530000000.0,7.84,60670000000.0,N/A,23.82,41.43,1.5,0.12,73.80,13490000.0,2.02,0.78,12340000.0,N/A
