,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
179,N/A,N/A,m,N/A,N/A,N/A,N/A,N/A,179.57,9.70,0.36,2.28,3.96,8.53,6.89,1.5,82.46,9730000000.0,16219999999.999998,9.00,1.21,0.60,4.81,0.60,10580000000.0,1.5,1070000000.0000001,3.22,31.40,5.30,1110000000.0,3.57,7640000000.0,1.34,13.70,31.22,1.5,0.30,91.90,8000000.0,2.13,2.61,6820000.0,N/A
180,N/A,N/A,ma,N/A,N/A,N/A,N/A,N/A,60.48,28.73,10.66,19.28,37.91,52.77,21.35,1.5,8.79,104770000000.0,101930000000.0,23.03,1.73,10.31,18.24,10.31,9670000000.0,1.5,3750000000.0,3.32,6.00,9.70,6210000000.0,5.65,3330000000.0,1.65,4.97,95.36,1.5,10.55,79.60,7970000.0,2.12,0.80,8230000.0,N/A
181,N/A,N/A,mac,N/A,N/A,N/A,N/A,N/A,92.63,13.27,9.13,2.47,70.62,27.12,1.81,1.5,8.01,11120000000.0,15670000000.0,16.95,2.57,12.52,20.54,12.52,790790000.0,1.5,882100000.0,5.64,610.30,18.50,106500000.0,0.72,4660000000.0,0.78,31.23,74.90,1.5,0.66,102.40,1980000.0,1.45,1.97,3820000.0,N/A
182,N/A,N/A,mcd,N/A,N/A,N/A,N/A,N/A,604.52,24.76,4.50,29.57,18.99,29.47,14.16,1.5,27.52,113090000000.0,133139999999.99998,20.81,2.22,5.25,14.75,5.25,9790000000.0,1.5,4820000000.0,5.20,35.40,0.90,3310000000.0,3.77,23350000000.0,1.77,4.40,128.83,1.5,0.05,69.30,13290000.0,2.36,1.52,16180000.0,N/A
183,N/A,N/A,mchp,N/A,N/A,N/A,N/A,N/A,115.44,31.65,4.44,4.48,14.91,18.94,4.97,1.5,10.69,10070000000.0,9650000000.0,12.68,1.58,4.44,14.01,4.44,1230000000.0,1.5,324130000.0,1.49,32.20,2.70,2450000000.0,12.01,2480000000.0,8.11,10.56,47.16,1.5,2.38,98.80,22280000.0,9.73,11.29,25100000.0,N/A
184,N/A,N/A,mdlz,N/A,N/A,N/A,N/A,N/A,62.55,9.56,2.46,2.51,26.46,12.98,3.59,1.5,17.73,68850000000.0,84890000000.0,21.33,2.13,3.00,18.67,3.00,11510000000.0,1.5,7500000000.0,4.64,71.00,16.80,1390000000.0,0.90,17430000000.0,0.68,17.86,44.36,1.5,2.90,77.40,14800000.0,1.32,0.98,15710000.0,N/A
185,N/A,N/A,mdt,N/A,N/A,N/A,N/A,N/A,70.61,47.64,4.01,2.24,8.56,20.35,4.58,1.5,20.10,113080000000.0,131669999999.99998,17.17,2.89,4.63,15.36,4.63,13950000000.0,1.5,2430000000.0,1.69,12.10,60.60,17290000000.0,12.34,35880000000.0,3.39,36.27,80.71,1.5,0.05,83.30,12380000.0,2.35,0.88,11350000.0,N/A
186,N/A,N/A,met,N/A,N/A,N/A,N/A,N/A,91.85,9.22,0.69,0.63,7.72,11.96,0.56,1.5,62.39,47230000000.0,78410000000.0,7.15,0.63,1.13,8.94,1.13,31240000000.0,1.5,5220000000.0,4.66,2.00,0.60,38600000000.0,35.13,69770000000.0,1.40,68.98,42.99,1.5,15.69,77.50,16140000.0,2.46,1.40,15200000.0,N/A
187,N/A,N/A,mmc,N/A,N/A,N/A,N/A,N/A,74.04,21.32,2.58,5.02,12.28,18.57,8.64,1.5,24.72,33330000000.0,37430000000.0,16.92,1.67,2.88,13.13,2.88,12890000000.0,1.5,1600000000.0,3.00,0.20,3.80,918000000.0,1.76,5010000000.0,1.52,12.82,63.95,1.5,0.21,86.00,6690000.0,3.83,1.47,5510000.0,N/A
188,N/A,N/A,mmm,N/A,N/A,N/A,N/A,N/A,94.62,21.64,3.43,8.80,16.31,23.64,13.98,1.5,48.68,102090000000.0,111720000000.0,18.83,2.43,3.71,13.04,3.71,14890000000.0,1.5,4910000000.0,7.78,6.30,2.20,1510000000.0,2.50,11140000000.0,1.52,19.34,168.32,1.5,0.08,68.70,6100000.0,2.85,1.09,6070000.0,N/A
