,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
219,N/A,N/A,pg,N/A,N/A,N/A,N/A,N/A,54.83,25.60,3.08,3.77,12.74,22.65,7.81,1.5,26.29,216220000000.0,236590000000.0,20.46,3.65,3.32,12.33,3.32,37400000000.0,1.5,8790000000.0,3.17,27.70,6.90,13820000000.0,5.19,32820000000.0,1.09,21.84,81.23,1.5,0.07,30.50,24620000.0,2.90,0.91,21820000.0,N/A
220,N/A,N/A,pgr,N/A,N/A,N/A,N/A,N/A,33.89,15.90,0.91,2.59,5.72,9.28,4.33,1.5,36.78,19380000000.0,18060000000.0,15.46,2.24,0.84,8.35,0.84,2150000000.0,1.5,1230000000.0,2.09,12.70,13.60,4040000000.0,6.92,2720000000.0,1.08,12.97,33.24,1.5,2.49,82.60,9940000.0,2.76,1.71,10210000.0,N/A
221,N/A,N/A,ph,N/A,N/A,N/A,N/A,N/A,64.68,20.37,1.31,3.02,6.45,10.81,6.40,1.5,84.65,14780000000.0,15930000000.0,16.38,2.46,1.38,10.21,1.38,3060000000.0,1.5,744500000.0,5.39,34.40,10.60,2100000000.0,15.63,3250000000.0,2.18,37.30,109.77,1.5,1.04,92.90,4910000.0,3.91,3.59,4920000.0,N/A
222,N/A,N/A,phm,N/A,N/A,N/A,N/A,N/A,67.51,12.30,1.00,1.32,8.32,13.03,5.60,1.5,17.85,6220000000.0,8439999999.999999,9.32,0.80,1.34,9.74,1.34,1420000000.0,1.5,518880000.0,1.46,51.50,26.40,1000000000.0,2.90,3220000000.0,4.44,13.78,17.98,1.5,9.47,87.50,16750000.0,2.71,4.90,15610000.0,N/A
223,N/A,N/A,pki,N/A,N/A,N/A,N/A,N/A,54.70,27.95,2.66,2.96,9.65,13.87,4.79,1.5,20.32,6000000000.0,6960000000.0,17.79,1.88,3.06,16.35,3.06,1020000000.0,1.5,219880000.0,1.95,17.70,2.20,210730000.0,1.90,1120000000.0,1.89,18.43,54.45,1.5,0.92,96.30,3070000.0,5.01,3.17,3510000.0,N/A
224,N/A,N/A,pnw,N/A,N/A,N/A,N/A,N/A,86.12,19.45,2.36,1.80,12.16,23.91,3.53,1.5,31.51,8250000000.0,12320000000.0,17.67,5.18,3.52,8.75,3.52,1530000000.0,1.5,425590000.0,3.82,72.40,0.90,14480000.0,0.13,4080000000.0,0.52,41.39,74.21,1.5,0.47,80.70,3230000.0,4.63,2.93,2850000.0,N/A
225,N/A,N/A,ppg,N/A,N/A,N/A,N/A,N/A,81.25,20.24,1.86,5.54,9.33,13.92,7.70,1.5,56.82,29010000000.0,31620000000.0,15.26,1.67,2.06,12.01,2.06,6740000000.0,1.5,1430000000.0,5.27,7.80,0.30,1030000000.0,3.89,4260000000.0,1.48,19.40,106.70,1.5,0.38,73.90,2540000.0,1.97,0.96,2300000.0,N/A
226,N/A,N/A,ppl,N/A,N/A,N/A,N/A,N/A,204.86,51.31,3.54,2.70,6.93,37.21,3.95,1.5,11.09,26330000000.0,45510000000.0,15.94,3.91,6.11,12.19,6.11,5950000000.0,1.5,1530000000.0,0.76,25.70,9.80,814000000.0,1.20,20000000000.0,0.67,14.43,38.89,1.5,0.03,48.00,9310000.0,2.75,1.38,9200000.0,N/A
227,N/A,N/A,pru,N/A,N/A,N/A,N/A,N/A,72.94,7.03,0.59,0.69,8.60,14.49,0.67,1.5,127.83,33500000000.0,13570000000.0,7.27,1.23,0.24,1.61,0.24,24370000000.0,1.5,4890000000.0,10.72,34.40,5.80,55690000000.0,125.99,35930000000.0,1.36,111.13,75.40,1.5,0.18,65.80,6200000.0,2.29,1.40,6140000.0,N/A
228,N/A,N/A,psa,N/A,N/A,N/A,N/A,N/A,3.56,42.04,18.39,9.04,53.91,54.14,8.51,1.5,14.44,45330000000.0,48970000000.0,24.68,3.54,19.62,27.58,19.62,1750000000.0,1.5,1080000000.0,6.23,12.10,8.50,305700000.0,1.76,336660000.0,1.02,29.29,261.89,1.5,15.12,79.70,43.00,4.05,2.33,2600000.0,N/A
229,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,37.37,11.72,0.52,1.80,4.54,4.92,5.04,1.5,148.31,41170000000.0,48290000000.0,10.78,2.71,0.61,9.60,0.61,21280000000.0,1.5,3620000000.0,6.68,61.00,27.60,1720000000.0,3.28,8840000000.0,1.51,43.36,78.34,1.5,10.84,68.00,15050000.0,6.23,3.34,15000000.0,N/A
230,N/A,N/A,pwr,N/A,N/A,N/A,N/A,N/A,12.86,14.96,0.51,1.20,3.74,3.40,2.76,1.5,40.81,3670000000.0,3970000000.0,12.15,1.10,0.54,8.79,0.54,923660000.0,1.5,93090000.0,1.53,61.70,7.90,155320000.0,0.95,408210000.0,1.82,19.48,22.85,1.5,0.73,90.90,9670000.0,4.56,6.33,8410000.0,N/A
231,N/A,N/A,px,N/A,N/A,N/A,N/A,N/A,173.38,21.70,3.08,6.63,14.12,22.65,7.82,1.5,36.80,31940000000.0,41120000000.0,18.38,3.18,3.91,11.80,3.91,4820000000.0,1.5,1490000000.0,5.16,14.40,9.00,221000000.0,0.78,9400000000.0,1.60,17.14,111.96,1.5,0.14,3.20,5350000.0,4.49,1.88,6100000.0,N/A
232,N/A,N/A,qcom,N/A,N/A,N/A,N/A,N/A,40.29,16.19,3.35,2.55,21.70,30.57,8.89,1.5,14.69,75380000000.0,70920000000.0,11.04,1.11,3.14,8.57,3.14,14900000000.0,1.5,4910000000.0,3.17,10.50,19.50,16399999999.999998,11.17,11940000000.0,2.87,20.21,51.32,1.5,0.17,82.10,13620000.0,1.35,0.91,16750000.0,N/A
233,N/A,N/A,r,N/A,N/A,N/A,N/A,N/A,273.77,11.38,0.55,1.80,4.64,9.70,3.84,1.5,125.33,3520000000.0,9060000000.0,10.10,1.28,1.37,5.05,1.37,1490000000.0,1.5,307950000.0,5.76,5.70,4.00,56810000.0,1.06,5600000000.0,0.69,38.08,65.54,1.5,0.92,99.10,2460000.0,3.25,4.61,2600000.0,N/A
234,N/A,N/A,rai,N/A,N/A,N/A,N/A,N/A,64.81,10.74,6.37,3.47,55.74,40.91,8.40,1.5,8.51,72650000000.0,81910000000.0,19.35,1.77,7.10,16.97,7.10,5990000000.0,1.5,6430000000.0,4.74,816.50,41.80,4460000000.0,3.12,13720000000.0,0.99,14.83,50.90,1.5,42.21,47.90,14700000.0,2.82,3.90,15860000.0,N/A
235,N/A,N/A,rdc,N/A,N/A,N/A,N/A,N/A,54.62,22.69,1.04,0.44,4.42,30.25,4.68,1.5,16.77,2109999999.9999998,4190000000.0000005,37.36,0.08,2.00,4.05,2.00,1140000000.0,1.5,92440000.0,0.74,0.70,8.60,595200000.0,4.75,2680000000.0,3.48,39.12,16.81,1.5,0.52,100.40,20320000.0,4.89,18.72,22580000.0,N/A
236,N/A,N/A,rhi,N/A,N/A,N/A,N/A,N/A,0.11,14.13,0.96,4.78,7.00,11.29,21.66,1.5,39.69,5040000000.0,4810000000.0,11.97,1.18,0.93,7.50,0.93,2109999999.9999998,1.5,363290000.0,2.75,7.10,8.10,214120000.0,1.66,1120000.0,2.11,8.08,38.89,1.5,3.28,89.90,2430000.0,2.09,1.91,2880000.0,N/A
237,N/A,N/A,rht,N/A,N/A,N/A,N/A,N/A,54.25,67.35,6.36,9.77,9.72,14.23,4.60,1.5,11.23,13070000000.0,12590000000.0,27.50,1.86,6.13,34.21,6.13,1740000000.0,1.5,199370000.0,1.07,11.20,17.10,1210000000.0,6.66,723940000.0,1.20,7.37,72.06,1.5,0.56,98.00,5670000.0,3.79,3.73,5400000.0,N/A
238,N/A,N/A,rl,N/A,N/A,N/A,N/A,N/A,23.66,15.49,0.98,1.92,6.46,11.31,8.27,1.5,86.17,7180000000.0,6870000000.0,12.25,1.43,0.93,6.02,0.93,4380000000.0,1.5,479000000.0,5.52,39.10,4.30,1220000000.0,14.46,900000000.0,2.84,45.29,85.50,1.5,0.39,98.50,4190000.0000000005,4.20,7.03,3990000.0,N/A
239,N/A,N/A,rok,N/A,N/A,N/A,N/A,N/A,80.83,19.86,2.45,6.70,12.58,17.42,10.28,1.5,45.68,14730000000.0,14210000000.0,18.24,3.71,2.35,11.71,2.35,2700000000.0,1.5,760200000.0,5.69,18.40,7.10,2310000000.0,17.73,1790000000.0,2.70,17.01,113.08,1.5,0.51,78.70,8180000.0,9.29,6.23,8260000.0,N/A
240,N/A,N/A,rop,N/A,N/A,N/A,N/A,N/A,57.19,25.98,4.95,3.29,19.11,28.51,6.72,1.5,35.91,17840000000.0,20430000000.0,23.17,2.63,5.65,16.38,5.65,2160000000.0,1.5,691710000.0,6.79,2.80,4.30,523030000.0,5.17,3110000000.0,1.84,53.77,176.32,1.5,1.61,96.20,2550000.0,5.99,3.01,2780000.0,N/A
241,N/A,N/A,rost,N/A,N/A,N/A,N/A,N/A,16.02,21.64,1.85,8.97,8.55,13.60,21.25,1.5,29.63,22480000000.0,21430000000.0,17.87,1.76,1.80,11.28,1.80,3360000000.0,1.5,1020000000.0,2.51,6.30,7.20,763340000.0,1.90,396020000.0,1.48,6.14,54.32,1.5,2.26,91.70,7910000.0,3.53,2.02,7090000.0,N/A
242,N/A,N/A,rsg,N/A,N/A,N/A,N/A,N/A,97.35,23.18,1.83,2.17,7.99,16.35,4.57,1.5,26.42,16670000000.000002,24190000000.0,20.71,2.54,2.63,9.44,2.63,3600000000.0,1.5,734200000.0,2.09,9.10,3.70,33400000.0,0.10,7560000000.0,0.65,22.54,48.46,1.5,31.30,64.60,4780000.0,2.71,2.03,5250000.0,N/A
243,N/A,N/A,rtn,N/A,N/A,N/A,N/A,N/A,50.11,20.21,1.65,3.87,8.23,11.88,6.22,1.5,79.58,38700000000.0,41390000000.0,16.35,2.11,1.75,12.72,1.75,5670000000.0,1.5,1910000000.0,6.45,22.10,9.00,2640000000.0,8.91,5330000000.0,1.63,34.10,130.31,1.5,0.38,79.60,2980000.0,1.72,1.01,3160000.0,N/A
244,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,58.80,33.03,4.09,16.18,12.61,17.71,18.06,1.5,13.57,81770000000.0,83350000000.0,25.49,1.58,4.13,18.24,4.13,11380000000.0,1.5,2540000000.0,1.69,16.20,9.40,1420000000.0,0.97,3000000000.0,0.89,3.48,55.82,1.5,2.79,72.60,14100000.0,1.90,0.98,13560000.0,N/A
245,N/A,N/A,scg,N/A,N/A,N/A,N/A,N/A,130.24,19.27,2.42,1.82,12.54,25.32,3.90,1.5,29.13,10060000000.0,17290000000.0,16.80,3.73,4.15,11.82,4.15,1670000000.0,1.5,522000000.0,3.65,56.00,15.60,86000000.0,0.60,7210000000.0,0.60,38.76,70.39,1.5,9.28,59.20,5220000.0,5.67,4.01,5530000.0,N/A
246,N/A,N/A,se,N/A,N/A,N/A,N/A,N/A,140.14,128.09,4.25,2.96,3.26,34.41,3.21,1.5,7.44,21570000000.0,35820000000.0,20.58,3.91,7.17,14.34,7.17,2900000000.0,1.5,163000000.0,0.24,12.40,14.70,299000000.0,0.44,14990000000.0,0.47,10.47,30.87,1.5,0.16,74.60,43.00,4.29,3.34,22390000.0,N/A
247,N/A,N/A,see,N/A,N/A,N/A,N/A,N/A,836.70,29.54,1.37,16.80,4.80,12.51,6.98,1.5,34.30,9410000000.0,13790000000.0,15.91,1.88,2.01,12.92,2.01,2590000000.0,1.5,327900000.0,1.62,5.50,8.90,315700000.0,1.60,4690000000.0,1.22,2.85,47.74,1.5,0.56,96.00,4830000.0,3.41,2.75,4179999.9999999995,N/A
248,N/A,N/A,shw,N/A,N/A,N/A,N/A,N/A,203.80,25.77,2.36,27.07,9.33,14.70,17.70,1.5,124.76,27120000000.0,29040000000.0,20.75,2.14,2.53,15.43,2.53,5560000000.0,1.5,1070000000.0000001,11.38,12.00,5.10,70550000.0,0.77,2040000000.0,1.28,10.94,293.17,1.5,17.39,68.40,1680000.0,1.74,2.10,1430000.0,N/A
249,N/A,N/A,sjm,N/A,N/A,N/A,N/A,N/A,72.14,37.50,2.11,2.15,5.47,15.30,5.62,1.5,63.92,15630000000.0,20770000000.0,20.43,2.25,2.79,13.46,2.79,1970000000.0,1.5,405900000.0,3.48,15.20,37.10,140500000.0,1.17,5280000000.0,1.79,61.21,130.57,1.5,7.33,64.60,3210000.0,3.58,3.27,2890000.0,N/A
250,N/A,N/A,slb,N/A,N/A,N/A,N/A,N/A,60.33,57.26,2.92,2.62,5.03,14.21,4.19,1.5,25.17,100710000000.0,97790000000.0,34.99,17.81,3.08,11.49,3.08,7150000000.0,1.5,1600000000.0,1.27,48.60,36.40,14430000000.0,11.52,21510000000.0,2.15,28.23,72.43,1.5,0.06,78.00,20390000.0,2.41,1.63,53530000.0,N/A
251,N/A,N/A,sna,N/A,N/A,N/A,N/A,N/A,34.93,19.26,2.63,3.77,13.76,21.85,11.33,1.5,62.11,9400000000.0,10180000000.0,16.18,1.81,2.82,11.86,2.82,1820000000.0,1.5,496500000.0,8.39,16.10,1.70,106200000.0,1.83,885400000.0,2.20,43.29,161.61,1.5,0.81,85.90,1890000.0,4.18,3.28,1880000.0,N/A
252,N/A,N/A,sndk,N/A,N/A,N/A,N/A,N/A,40.82,37.34,2.76,2.90,7.64,13.51,4.98,1.5,27.57,15460000000.0,13110000000.0,22.88,3.04,2.34,9.61,2.34,2260000000.0,1.5,427810000.0,2.04,100.80,2.50,4520000000.0,22.28,2180000000.0,1.54,26.26,76.18,1.5,10.74,86.20,14650000.0,4.43,8.03,14930000.0,N/A
253,N/A,N/A,sni,N/A,N/A,N/A,N/A,N/A,174.82,10.84,2.63,4.53,24.36,40.33,15.14,1.5,24.59,8330000000.0,11820000000.0,11.98,1.13,3.72,8.22,3.72,2029999999.9999998,1.5,773880000.0,5.96,134.90,24.10,216800000.0,1.68,3700000000.0,1.57,14.31,64.67,1.5,21.54,96.70,12810000.0,11.08,15.77,13360000.0,N/A
254,N/A,N/A,so,N/A,N/A,N/A,N/A,N/A,133.68,19.50,2.67,2.21,13.57,24.65,3.54,1.5,18.95,45910000000.0,75990000000.0,16.80,5.39,4.40,11.32,4.40,7680000000.0,1.5,2340000000.0,2.56,4.50,5.20,773000000.0,0.84,29870000000.0,0.70,22.65,49.89,1.5,0.03,51.70,23930000.0,6.00,2.62,21360000.0,N/A
255,N/A,N/A,spg,N/A,N/A,N/A,N/A,N/A,416.37,34.48,11.71,13.78,33.08,50.88,5.50,1.5,17.27,60800000000.0,83710000000.0,16.71,2.41,15.65,21.05,15.65,4310000000.0,1.5,1770000000.0,5.70,10.80,7.60,805080000.0,2.60,22980000000.0,0.55,14.70,196.49,1.5,0.72,98.60,4630000.0,4.32,1.74,4200000.0,N/A
256,N/A,N/A,srcl,N/A,N/A,N/A,N/A,N/A,111.84,32.43,2.48,2.82,8.40,20.88,7.26,1.5,37.67,7950000000.0,11060000000.0,17.10,1.29,3.46,13.56,3.46,1270000000.0,1.5,248160000.0,2.89,1.80,31.80,45720000.0,0.54,3150000000.0,1.37,33.08,93.70,1.5,1.22,90.80,43.00,7.83,8.17,43.00,N/A
257,N/A,N/A,sre,N/A,N/A,N/A,N/A,N/A,119.60,21.31,2.59,2.20,12.10,17.90,2.80,1.5,40.89,26030000000.0,40910000000.0,19.77,2.76,4.02,13.21,4.02,3580000000.0,1.5,1230000000.0,4.90,27.00,2.20,384000000.0,1.54,15220000000.0,0.56,47.83,104.40,1.5,5.33,75.30,3860000.0,3.29,1.55,3580000.0,N/A
258,N/A,N/A,stj,N/A,N/A,N/A,N/A,N/A,147.79,30.43,3.82,5.25,12.63,21.99,7.06,1.5,19.99,21530000000.0,27260000000.0,17.14,1.76,4.83,17.03,4.83,3800000000.0,1.5,713000000.0,2.49,63.70,7.70,334000000.0,1.18,6060000000.0,1.72,14.44,75.74,1.5,2.44,86.30,4220000.0,1.82,1.51,4790000.0,N/A
259,N/A,N/A,swk,N/A,N/A,N/A,N/A,N/A,76.69,18.72,1.52,3.01,8.12,12.18,5.41,1.5,76.46,16989999999.999998,21010000000.0,16.13,1.81,1.87,11.82,1.87,4070000000.0000005,1.5,926400000.0,6.05,16.70,1.60,366500000.0,2.44,4380000000.0,1.09,37.76,113.21,1.5,0.59,88.40,3980000.0,3.92,2.70,4350000.0,N/A
260,N/A,N/A,syk,N/A,N/A,N/A,N/A,N/A,84.88,25.96,4.16,4.75,16.07,22.98,7.97,1.5,26.82,41480000000.0,41470000000.0,17.38,1.87,4.12,15.26,4.12,6600000000.0,1.5,1620000000.0,4.27,79.50,4.90,7480000000.0,20.01,7480000000.0,3.56,23.55,110.91,1.5,8.29,76.00,43.00,4.75,2.07,6930000.0,N/A
261,N/A,N/A,symc,N/A,N/A,N/A,N/A,N/A,32.26,18.70,1.78,2.06,10.02,25.11,7.74,1.5,9.10,10950000000.0,10420000000.0,12.08,1.76,1.69,5.35,1.69,5360000000.0,1.5,1020000000.0,0.90,23.40,6.30,2270000000.0,3.48,1740000000.0,1.87,8.21,16.79,1.5,0.23,93.60,22560000.0,2.78,3.77,23420000.0,N/A
262,N/A,N/A,syy,N/A,N/A,N/A,N/A,N/A,107.80,36.50,0.58,7.14,1.64,3.85,7.54,1.5,84.50,28260000000.0,32009999999.999996,22.29,2.35,0.65,12.90,0.65,8550000000.000001,1.5,806980000.0,1.37,22.70,2.20,610840000.0,1.08,4360000000.0,1.69,7.03,50.15,1.5,7.16,76.70,18870000.0,5.48,3.41,19640000.0,N/A
263,N/A,N/A,t,N/A,N/A,N/A,N/A,N/A,106.98,16.59,1.57,1.97,8.97,17.72,4.82,1.5,26.36,241010000000.0,364080000000.0,12.92,1.67,2.35,7.32,2.35,79760000000.0,1.5,13880000000.0,2.36,16.50,24.40,10010000000.0,1.63,133080000000.00002,0.85,20.05,39.15,1.5,0.05,63.20,70880000.0,3.22,1.15,84540000.0,N/A
264,N/A,N/A,tap,N/A,N/A,N/A,N/A,N/A,30.62,42.96,6.07,2.16,12.40,10.66,1.67,1.5,18.58,21200000000.0,21640000000.0,19.40,9.30,6.14,33.77,6.14,1400000000.0,1.5,435700000.0,2.30,95.80,6.10,2600000000.0,12.12,3040000000.0,3.08,46.11,98.76,1.5,0.16,37.30,4810000.0,3.33,2.62,5470000.0,N/A
265,N/A,N/A,te,N/A,N/A,N/A,N/A,N/A,158.23,34.10,2.39,2.51,6.99,20.82,3.97,1.5,11.61,6480000000.0,10520000000.0,21.67,3.27,3.88,11.46,3.88,1120000000.0,1.5,250500000.0,0.81,27.20,4.80,46100000.0,0.20,4090000000.0,0.46,10.97,27.52,1.5,1.20,60.00,12140000.0,5.09,5.22,10680000.0,N/A
266,N/A,N/A,tif,N/A,N/A,N/A,N/A,N/A,37.68,17.95,2.04,2.89,11.30,18.73,9.32,1.5,31.92,8119999999.999999,8340000000.0,15.60,2.25,2.03,8.58,2.03,2490000000.0,1.5,463900000.0,3.59,16.80,5.60,886600000.0,7.03,1100000000.0,4.81,22.96,64.43,1.5,13.20,80.90,11060000.0,6.00,10.15,10620000.0,N/A
267,N/A,N/A,tjx,N/A,N/A,N/A,N/A,N/A,39.69,21.83,1.59,11.44,7.36,11.97,20.59,1.5,45.95,48140000000.0,47420000000.0,18.83,2.05,1.53,10.97,1.53,8910000000.0,1.5,2280000000.0,3.33,2.80,7.90,2450000000.0,3.69,1710000000.0,1.54,6.49,72.68,1.5,0.54,91.20,7260000.0,2.50,1.16,7840000.0,N/A
268,N/A,N/A,tmk,N/A,N/A,N/A,N/A,N/A,29.63,13.84,1.85,1.61,13.90,22.16,2.55,1.5,30.80,7030000000.0,8180000000.0,12.27,1.84,2.15,9.60,2.15,1750000000.0,1.5,519090000.00000006,4.21,2.00,4.60,157430000.0,1.31,1300000000.0,0.39,36.27,58.30,1.5,1.99,78.40,43.00,6.69,3.30,3930000.0,N/A
269,N/A,N/A,tmo,N/A,N/A,N/A,N/A,N/A,71.90,29.76,3.38,2.80,11.49,14.73,3.77,1.5,43.55,58200000000.0,72410000000.0,16.49,1.76,4.18,17.13,4.18,7760000000.0,1.5,2000000000.0,4.97,4.40,9.60,826800000.0,2.10,15040000000.0,1.03,53.17,147.89,1.5,0.18,89.60,3760000.0,2.84,0.96,4360000.0,N/A
270,N/A,N/A,trip,N/A,N/A,N/A,N/A,N/A,7.58,58.12,6.27,6.35,10.94,12.49,5.37,1.5,10.26,9390000000.0,8810000000.0,28.52,3.92,5.95,37.82,5.95,1430000000.0,1.5,162000000.0,1.11,57.10,3.00,692000000.0,4.75,111000000.0,2.23,10.05,64.46,1.5,19.44,91.80,14140000.0,7.16,14.23,14620000.0,N/A
271,N/A,N/A,trv,N/A,N/A,N/A,N/A,N/A,26.25,10.58,1.23,1.36,12.28,18.17,2.99,1.5,88.36,32939999999.999996,34450000000.0,11.36,4.77,1.28,6.06,1.28,13080000000.0,1.5,3270000000.0,10.65,17.00,0.90,4950000000.0,16.92,6340000000.0,0.39,82.65,112.67,1.5,0.45,84.30,6770000.0,4.46,2.32,7370000.0,N/A
272,N/A,N/A,tsn,N/A,N/A,N/A,N/A,N/A,64.74,18.60,0.69,2.73,3.84,7.21,7.62,1.5,97.74,26850000000.0,32820000000.0,15.01,1.29,0.84,9.35,0.84,3920000000.0,1.5,1490000000.0,3.70,39.40,8.10,257000000.0,0.66,6350000000.0,1.89,25.19,68.75,1.5,1.72,92.00,11140000.0,4.20,3.84,11820000.0,N/A
273,N/A,N/A,tso,N/A,N/A,N/A,N/A,N/A,52.90,6.41,0.34,1.73,5.47,12.00,12.44,1.5,219.92,9120000000.0,12720000000.0,10.07,0.54,0.48,3.36,0.48,6240000000.0,1.5,1460000000.0,11.88,52.40,21.60,439000000.0,3.67,4050000000.0,1.55,43.66,76.11,1.5,6.17,86.40,5650000.0,2.64,4.74,5640000.0,N/A
274,N/A,N/A,tss,N/A,N/A,N/A,N/A,N/A,149.43,25.91,3.42,5.09,13.19,19.84,7.70,1.5,15.67,9680000000.0,10680000000.0,16.61,1.50,3.74,15.22,3.74,924360000.0,1.5,372530000.0,2.04,16.60,11.70,1930000000.0,10.52,2910000000.0,8.55,10.48,52.83,1.5,2.38,74.50,2590000.0,2.25,1.44,2610000.0,N/A
275,N/A,N/A,twc,N/A,N/A,N/A,N/A,N/A,241.65,32.80,2.54,6.55,7.80,18.73,5.76,1.5,85.15,61360000000.0,82680000000.0,26.31,2.61,3.43,10.41,3.43,16210000000.0,1.5,1870000000.0,6.57,7.90,7.20,1300000000.0,4.56,22620000000.0,0.68,32.88,215.51,1.5,5.12,88.30,8730000.0,4.45,3.09,9250000.0,N/A
276,N/A,N/A,twx,N/A,N/A,N/A,N/A,N/A,99.16,14.69,2.04,2.43,14.41,26.04,7.34,1.5,35.14,57590000000.0,79720000000.0,12.10,0.94,2.82,9.91,2.82,11960000000.0,1.5,4030000000.0000005,4.98,25.20,2.50,1540000000.0,1.96,23670000000.0,1.64,30.22,73.23,1.5,0.11,83.70,15020000.0,2.97,1.82,12420000.0,N/A
277,N/A,N/A,txn,N/A,N/A,N/A,N/A,N/A,42.10,19.93,4.46,5.88,23.32,32.89,16.00,1.5,12.60,57360000000.0,58680000000.0,17.52,1.93,4.56,11.13,4.56,7560000000.0,1.5,2960000000.0,2.87,1.80,4.50,2800000000.0,2.79,4120000000.0,2.75,9.72,57.12,1.5,0.22,87.20,25920000.0,6.31,3.06,26060000.0,N/A
278,N/A,N/A,txt,N/A,N/A,N/A,N/A,N/A,80.12,14.44,0.75,2.04,5.31,8.44,4.79,1.5,49.26,10040000000.0,13320000000.0,12.45,1.09,0.98,8.30,0.98,2440000000.0,1.5,721000000.0,2.59,17.20,4.20,723000000.0,2.69,4000000000.0,2.03,18.57,37.35,1.5,0.10,80.80,6630000.0,2.85,2.89,5730000.0,N/A
279,N/A,N/A,tyc,N/A,N/A,N/A,N/A,N/A,61.25,36.93,1.70,3.97,4.58,12.74,6.63,1.5,22.93,16329999999.999998,18480000000.0,16.90,1.57,1.91,11.74,1.91,3630000000.0,1.5,487000000.0,1.04,12.60,4.10,401000000.0,0.94,2560000000.0,1.13,9.75,38.37,1.5,0.48,90.30,4240000.0,1.53,1.12,3320000.0,N/A
280,N/A,N/A,ua,N/A,N/A,N/A,N/A,N/A,53.91,69.57,7.79,14.12,5.71,10.04,9.15,1.5,9.74,16160000000.0,33119999999.999996,44.76,2.25,7.87,62.05,7.87,1910000000.0,1.5,240020000.0,0.53,63.50,30.20,157000000.0,0.18,938810000.0,2.92,2.67,37.15,1.5,0.36,77.40,43.00,5.76,9.11,33200000.000000004,N/A
281,N/A,N/A,unh,N/A,N/A,N/A,N/A,N/A,91.41,20.74,0.74,3.52,3.62,6.84,6.83,1.5,174.10,122650000000.0,143360000000.0,14.43,1.11,0.86,11.26,0.86,53230000000.0,1.5,6010000000.0,6.22,14.00,24.50,13010000000.0,13.69,33720000000.0,0.67,36.87,129.00,1.5,1.62,89.60,11600000.0,3.47,1.23,10800000.0,N/A
282,N/A,N/A,unm,N/A,N/A,N/A,N/A,N/A,31.41,9.49,0.74,0.90,8.00,12.89,1.39,1.5,44.30,7990000000.0,9930000000.0,8.16,1.11,0.92,6.64,0.92,3520000000.0,1.5,864800000.0,3.54,1.10,2.90,864000000.0,3.63,2800000000.0,5.70,37.52,33.62,1.5,0.47,93.60,5540000.0,2.87,2.34,5460000.0,N/A
283,N/A,N/A,unp,N/A,N/A,N/A,N/A,N/A,74.20,15.31,3.35,3.44,21.88,36.91,8.91,1.5,24.53,68960000000.0,81480000000.0,14.16,2.22,3.88,8.33,3.88,17380000000.0,1.5,4600000000.0,5.36,14.90,14.00,2670000000.0,3.18,15190000000.0,1.55,24.35,82.00,1.5,0.16,81.00,12570000.0,2.78,1.49,13470000.0,N/A
284,N/A,N/A,urbn,N/A,N/A,N/A,N/A,N/A,13.19,14.60,0.92,2.78,6.52,10.52,12.17,1.5,27.51,3050000000.0,2870000000.0,11.87,1.03,0.83,5.73,0.83,1200000000.0,1.5,224490000.0,1.78,9.20,0.20,326340000.0,2.78,150000000.0,2.53,9.69,25.99,1.5,26.45,80.30,6430000.0,2.74,9.56,4490000.0,N/A
285,N/A,N/A,utx,N/A,N/A,N/A,N/A,N/A,76.76,11.76,1.51,2.99,13.13,14.67,5.72,1.5,65.55,83910000000.0,99750000000.0,14.32,1.68,1.78,9.87,1.78,15670000000.0,1.5,3810000000.0,8.53,16.50,0.30,7220000000.0,8.62,23050000000.0,1.34,33.88,100.27,1.5,0.13,83.20,21810000.0,5.54,2.96,21920000.0,N/A
286,N/A,N/A,v,N/A,N/A,N/A,N/A,N/A,54.50,26.78,13.01,6.38,48.02,65.74,12.60,1.5,5.99,183230000000.0,179240000000.0,24.01,1.72,12.55,18.62,12.55,11800000000.0,1.5,6840000000.0,2.87,10.10,6.40,19900000000.0,8.34,15880000000.0,4.74,12.22,76.83,1.5,0.06,92.80,49530000.0,6.29,2.56,50080000.0,N/A
287,N/A,N/A,var,N/A,N/A,N/A,N/A,N/A,46.61,20.30,2.52,4.66,12.77,17.34,9.23,1.5,31.89,7840000000.0,7690000000.0,16.66,1.58,2.47,12.55,2.47,1280000000.0,1.5,398180000.0,4.04,8.50,0.10,961100000.0,10.04,794140000.0,1.64,17.66,82.11,1.5,0.24,98.80,8010000.0,15.02,8.30,7990000.0,N/A
